t,vx,vy,r,x,y,psi,df,dr,Fx_f,Fx_r,Fy_f,Fy_r,alpha_f,alpha_r,ay
7.530000000000000249e+00,-1.237471426605101321e+01,5.423378011254355613e+01,5.801013056823305786e-02,2.593735005118214190e+02,-8.677193056041684827e+01,-2.591135212921326758e+00,3.272492347489367598e-02,-6.916970514056448166e-03,5.413562520169446543e+03,4.066749706860075548e+03,5.564833327207133152e+03,4.167873224414262950e+03,1.528864135595766616e+00,1.568478408418777725e+00,6.585749868435132548e+00
7.540000000000000036e+00,-1.228109271915380774e+01,5.430681619913109159e+01,5.906351506880885838e-02,2.597626529000062305e+02,-8.716942781149695918e+01,-2.590555111615644446e+00,3.272492347489367598e-02,-6.864301289027659181e-03,5.413565312766238094e+03,4.066742997157301943e+03,5.564830888962675999e+03,4.167879100300376194e+03,1.528876715437634592e+00,1.568437892855500726e+00,6.585896052647475685e+00
7.549999999999999822e+00,-1.218685822324856360e+01,5.437992880470635981e+01,6.011546993058698024e-02,2.601516205689950425e+02,-8.756781167774620656e+01,-2.589964476464956533e+00,3.272492347489367598e-02,-6.811703545938753088e-03,5.413568100537833743e+03,4.066736296180376939e+03,5.564828454928826432e+03,4.167884968527061574e+03,1.528889273565066986e+00,1.568397430197981279e+00,6.586042031142654629e+00
7.560000000000000497e+00,-1.209200996915156345e+01,5.445311541210846684e+01,6.116599717381755036e-02,2.605404040650720390e+02,-8.796708227545410352e+01,-2.589363321765650650e+00,3.272492347489367598e-02,-6.759177183777224235e-03,5.413570883398637307e+03,4.066729603845467409e+03,5.564826025180330362e+03,4.167890829167804441e+03,1.528901809592354999e+00,1.568357019939154773e+00,6.586187804326286255e+00
7.570000000000000284e+00,-1.199654714884315077e+01,5.452637348862771915e+01,6.221509881566207600e-02,2.609290039439302973e+02,-8.836723972255362014e+01,-2.588751661793912362e+00,3.272492347489367598e-02,-6.706722101684997259e-03,5.413573661263485519e+03,4.066722920069074007e+03,5.564823599791557172e+03,4.167896682295793653e+03,1.528914323135771358e+00,1.568316661574024939e+00,6.586333372603021097e+00
7.580000000000000071e+00,-1.190046895558535667e+01,5.459970048601687154e+01,6.326277687019875307e-02,2.613174207706623520e+02,-8.876828413860121714e+01,-2.588129510805755817e+00,3.272492347489367598e-02,-6.654338198958163406e-03,5.413576434047668954e+03,4.066716244768042998e+03,5.564821178836483341e+03,4.167902527983921573e+03,1.528926813813570096e+00,1.568276354599668299e+00,6.586478736376515819e+00
7.589999999999999858e+00,-1.180377458403996016e+01,5.467309384050251708e+01,6.430903334842769103e-02,2.617056551197508725e+02,-8.917021564475662387e+01,-2.587496883037053941e+00,3.272492347489367598e-02,-6.602025375046716854e-03,5.413579201666906556e+03,4.066709577859561705e+03,5.564818762388704272e+03,4.167908366304769515e+03,1.528939281245988324e+00,1.568236098515235044e+00,6.586623896049446536e+00
7.600000000000000533e+00,-1.170646323038699421e+01,5.474655097279663352e+01,6.535387025827628371e-02,2.620937075750592840e+02,-8.957303436376234629e+01,-2.586853792703569521e+00,3.272492347489367598e-02,-6.549783529554287567e-03,5.413581964037361104e+03,4.066702919261158968e+03,5.564816350521436107e+03,4.167914197330631396e+03,1.528951725055245126e+00,1.568195892821952375e+00,6.586768852023519472e+00
7.610000000000000320e+00,-1.160853409244368351e+01,5.482006928810828583e+01,6.639728960460437868e-02,2.624815787298225587e+02,-8.997674041992296168e+01,-2.586200254000986742e+00,3.272492347489367598e-02,-6.497612562237882819e-03,5.413584721075638299e+03,4.066696268890707415e+03,5.564813943307499358e+03,4.167920021133491900e+03,1.528964144865541774e+00,1.568155737023125162e+00,6.586913604699448754e+00
7.620000000000000107e+00,-1.150998636978381739e+01,5.489364617615549236e+01,6.743929338920955086e-02,2.628692691866378937e+02,-9.038133393908407243e+01,-2.585536281104940493e+00,3.272492347489367598e-02,-6.445512373007623516e-03,5.413587472698784950e+03,4.066689626666416189e+03,5.564811540819342554e+03,4.167925837785038311e+03,1.528976540303059517e+00,1.568115630624137280e+00,6.587058154476984839e+00
