t,df,dr_track,r_cmd,r_track,beta_track,ay_track,r_ratio,beta_ratio,ay_ratio
2.319999999999999840e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713889779363484e+00,4.885350253643632179e-01,-5.247427574035957321e+01,2.623713866325511623e-01,6.146496816839595520e-03,5.247427731172856546e+00
2.330000000000000071e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713888591434618e+00,4.885350262319563264e-01,-5.247427595290486124e+01,2.623713866257736949e-01,6.146496816236022773e-03,5.247427731315425170e+00
2.339999999999999858e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713887307280057e+00,4.885350269989935934e-01,-5.247427614060755019e+01,2.623713866196782929e-01,6.146496815748058069e-03,5.247427731430137854e+00
2.350000000000000089e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713885967493109e+00,4.885350276753352428e-01,-5.247427630593134040e+01,2.623713866142118323e-01,6.146496815358283052e-03,5.247427731521235650e+00
2.359999999999999876e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713884604764957e+00,4.885350282701136915e-01,-5.247427645115373451e+01,2.623713866093230207e-01,6.146496815051524093e-03,5.247427731592408939e+00
2.370000000000000107e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713883245085476e+00,4.885350287917495371e-01,-5.247427657837106096e+01,2.623713866049626198e-01,6.146496814814600765e-03,5.247427731646858717e+00
2.379999999999999893e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713881908788181e+00,4.885350292479753720e-01,-5.247427668950513180e+01,2.623713866010839446e-01,6.146496814636098587e-03,5.247427731687354324e+00
2.390000000000000124e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713880611457494e+00,4.885350296458646491e-01,-5.247427678631134995e+01,2.623713865976428639e-01,6.146496814506164329e-03,5.247427731716282295e+00
2.399999999999999911e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713879364712120e+00,4.885350299918648775e-01,-5.247427687038743471e+01,2.623713865945981327e-01,6.146496814416322133e-03,5.247427731735690770e+00
2.410000000000000142e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713878176882730e+00,4.885350302918330945e-01,-5.247427694318283642e+01,2.623713865919111710e-01,6.146496814359306109e-03,5.247427731747337454e+00
